,win,first,opp
0,1,1,1
1,1,0,0
2,1,1,0
3,1,1,0
4,1,1,0
5,1,0,0
6,1,1,0
7,1,1,0
8,1,0,0
9,1,1,0
10,1,1,0
11,1,0,1
12,1,0,0
13,1,1,0
14,1,0,0
15,1,1,0
16,1,0,1
17,1,0,0
18,1,0,0
19,1,1,0
20,1,0,0
21,1,1,0
22,1,1,0
23,1,0,0
24,1,1,1
25,1,1,1
26,1,1,1
27,1,0,1
28,1,0,0
29,1,1,0
30,1,1,0
31,1,0,0
32,1,1,1
33,1,1,0
34,1,0,1
35,1,1,1
36,1,1,0
37,1,0,0
38,1,0,0
39,1,1,0
40,1,1,0
41,1,1,0
42,1,0,0
43,1,0,0
44,1,1,0
45,1,1,0
46,1,0,1
47,1,0,0
48,1,1,1
49,1,1,0
50,1,1,0
51,1,1,1
52,1,1,1
53,1,1,0
54,1,1,0
55,1,0,0
56,1,0,0
57,1,0,0
58,1,1,0
59,1,0,1
60,1,1,1
61,1,1,1
62,1,1,0
63,1,1,0
64,1,0,0
65,1,0,0
66,1,1,0
67,1,0,0
68,1,0,0
69,1,1,0
70,1,1,0
71,1,0,0
72,1,0,0
73,1,0,0
74,1,1,1
75,1,0,0
76,1,1,0
77,1,1,1
78,1,1,0
79,1,1,0
80,1,1,1
81,1,1,0
82,1,1,0
83,1,0,0
84,1,0,1
85,1,1,0
86,1,0,0
87,1,0,1
88,1,0,0
89,1,1,0
90,1,1,0
91,1,0,0
92,1,1,0
93,1,0,0
94,1,0,0
95,1,0,0
96,1,1,1
97,1,1,0
98,1,0,0
99,1,1,0
100,1,0,0
101,1,0,0
102,1,1,1
103,1,1,0
104,1,1,0
105,1,1,0
106,1,1,0
107,1,0,0
108,1,0,0
109,1,1,0
110,1,1,0
111,1,0,0
112,1,1,0
113,1,0,0
114,1,0,1
115,1,1,0
116,1,1,0
117,1,0,1
118,1,1,0
119,1,0,0
120,1,1,0
121,1,0,0
122,1,1,1
123,1,0,0
124,1,1,0
125,1,0,1
126,1,0,0
127,1,1,0
128,1,0,0
129,1,0,0
130,1,0,0
131,1,1,0
132,1,1,0
133,1,1,1
134,1,1,1
135,1,1,1
136,1,0,0
137,1,1,1
138,1,0,1
139,1,1,1
140,1,0,0
141,1,1,1
142,1,1,1
143,1,1,1
144,1,0,0
145,1,0,1
146,1,1,0
147,1,1,0
148,1,1,1
149,1,0,1
150,1,0,0
151,1,0,0
152,1,1,1
153,1,1,0
154,1,0,1
155,1,0,0
156,1,1,0
157,1,1,1
158,1,0,1
159,1,0,1
160,1,1,0
161,1,0,0
162,1,1,1
163,1,0,1
164,1,0,1
165,1,1,1
166,1,0,1
167,1,1,1
168,1,0,0
169,1,0,1
170,1,1,1
171,1,0,0
172,1,1,0
173,1,1,0
174,1,1,0
175,1,0,0
176,1,0,0
177,1,0,0
178,1,0,1
179,1,1,1
180,1,1,1
181,1,0,0
182,1,0,0
183,1,1,1
184,1,0,1
185,1,0,1
186,1,0,0
187,1,0,0
188,1,1,0
189,1,0,1
190,1,0,1
191,1,0,1
192,1,1,1
193,1,0,1
194,1,0,1
195,1,1,1
196,1,1,1
197,1,1,1
198,1,1,0
199,1,0,0
200,1,0,1
201,1,0,1
202,1,1,1
203,1,0,1
204,1,0,0
205,1,0,0
206,1,1,1
207,1,1,1
208,1,0,1
209,1,0,0
210,1,0,1
211,1,1,1
212,1,0,1
213,1,0,0
214,1,0,1
215,1,1,1
216,1,0,1
217,1,0,0
218,1,1,1
219,1,0,1
220,1,1,1
221,1,1,0
222,1,1,1
223,1,1,1
224,1,1,0
225,1,0,1
226,1,1,0
227,1,1,0
228,1,1,1
229,1,0,1
230,1,0,0
231,1,0,1
232,1,1,1
233,1,1,1
234,1,1,0
235,1,0,1
236,1,0,1
237,1,1,1
238,1,0,0
239,1,0,0
240,1,1,1
241,1,1,0
242,1,0,1
243,1,0,0
244,1,0,1
245,1,0,1
246,1,1,1
247,1,0,1
248,1,1,1
249,1,0,1
250,1,1,1
251,1,1,0
252,1,1,1
253,1,0,0
254,1,0,1
255,1,0,1
256,1,0,0
257,1,0,1
258,1,1,1
259,1,0,1
260,1,1,1
261,1,0,1
262,1,1,1
263,1,1,1
264,1,1,1
265,1,0,0
266,1,0,1
267,1,0,1
268,1,0,1
269,1,1,1
270,1,1,1
271,1,1,1
272,1,1,1
273,1,0,1
274,1,0,1
275,1,0,1
276,1,0,0
277,1,0,1
278,1,0,1
279,1,0,1
280,1,1,1
281,1,0,1
282,1,1,1
283,1,1,1
284,1,0,1
285,1,0,1
286,1,1,1
287,1,1,0
288,1,1,0
289,1,0,0
290,1,1,1
291,1,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,1,0
298,0,0,1
299,0,0,0
300,0,1,1
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,1,0
306,0,0,0
307,0,0,0
308,0,1,0
309,0,0,0
310,0,0,0
311,0,1,0
312,0,0,0
313,0,0,0
314,0,1,0
315,0,1,0
316,0,1,0
317,0,1,0
318,0,1,1
319,0,0,1
320,0,0,1
321,0,1,0
322,0,0,0
323,0,0,1
324,0,1,0
325,0,1,0
326,0,1,0
327,0,0,0
328,0,0,1
329,0,0,1
330,0,0,0
331,0,0,0
332,0,1,1
333,0,0,1
334,0,1,0
335,0,0,0
336,0,0,1
337,0,0,1
338,0,0,1
339,0,0,0
340,0,1,1
341,0,1,0
342,0,1,1
343,0,0,0
344,0,1,1
345,0,0,1
346,0,0,1
347,0,0,0
348,0,0,1
349,0,0,1
350,0,0,1
